id,date,amount,utr_ref,narration
BNK-6770a893,2026-07-20,245035.56,UTR-MOCK-10357,UPI/CR/UTR-MOCK-10357/MICROSOFT /PAYMENT
BNK-61de332f,2026-07-24,26891.84,UTR-MOCK-10225,NEFT/UTR-MOCK-10225/GITHUB INC/INV-10225
BNK-39eacedd,2026-08-13,200363.92,UTR-MOCK-10281,NEFT/UTR-MOCK-10281/WEWORK COWORKING/INV-10281
BNK-398ac53c,2026-08-01,159442.67,UTR-MOCK-10213,NEFT/UTR-MOCK-10213/HUBSPOT MARKETING/INV-10213
BNK-7f9cbf47,2026-08-10,67046.18,UTR-MOCK-10421,NEFT/UTR-MOCK-10421/KPMG AUDIT/INV-10421
BNK-933d4f0d,2026-07-31,108033.58,UTR-MOCK-10403,IMPS/P2A/UTR-MOCK-10403/HUBSPO/SETTLEMENT
BNK-200b9904,2026-07-20,196869.87,UTR-MOCK-10402,RTGS-OUT/UTR-MOCK-10402/TATA COMM SERVICES
BNK-c966c29e,2026-08-02,38414.48,UTR-MOCK-10252,NEFT/UTR-MOCK-10252/TATA COMM/INV-10252
BNK-8d12a879,2026-08-10,242492.66,UTR-MOCK-10187,NEFT/UTR-MOCK-10187/SWIGGY B2B/INV-10187
BNK-e71202e1,2026-08-12,107376.38,UTR-MOCK-10010,NEFT/UTR-MOCK-10010/SWIGGY B2B/INV-10010
BNK-37f3c492,2026-08-18,40281.94,UTR-MOCK-10320,NEFT/UTR-MOCK-10320/DELHIVERY LOGISTICS/INV-10320
BNK-cd08da3f,2026-07-26,55769.44,UTR-MOCK-10071,NEFT/UTR-MOCK-10071/ZOHO CORP/INV-10071
BNK-7eb20162,2026-08-04,53721.66,UTR-MOCK-10422,NEFT/UTR-MOCK-10422/TATA COMM/INV-10422
BNK-0566c5a3,2026-08-20,292055.44,UTR-MOCK-10002,NEFT/UTR-MOCK-10002/KPMG AUDIT/INV-10002
BNK-e985dd2c,2026-08-05,13164.42,UTR-MOCK-10269,NEFT/UTR-MOCK-10269/KPMG AUDIT/INV-10269
BNK-e2ff3863,2026-08-17,36531.74,UTR-MOCK-10419-DUP,NEFT/UTR-MOCK-10419/SLACK TECH/INV-10419 RE-POST
BNK-4f94fcfb,2026-08-08,8586.56,UTR-MOCK-10254,NEFT/UTR-MOCK-10254/KPMG AUDIT/INV-10254
BNK-cf7f66aa,2026-08-20,66388.41,UTR-MOCK-10108,NEFT/UTR-MOCK-10108/WEWORK COWORKING/INV-10108
BNK-1a9adcec,2026-08-04,70887.9,UTR-MOCK-10429,NEFT/UTR-MOCK-10429/SWIGGY B2B/INV-10429
BNK-050e0d6a,2026-08-18,113257.2,UTR-MOCK-10401,IMPS/P2A/UTR-MOCK-10401/AWS CL/SETTLEMENT
BNK-7dcc4504,2026-08-02,243061.19,UTR-MOCK-10331,RTGS-OUT/UTR-MOCK-10331/RAZORPAY SERVICES
BNK-db891698,2026-08-13,213556.85,UTR-MOCK-10349,UPI/CR/UTR-MOCK-10349/SLACK TECH/PAYMENT
BNK-6e1a990e,2026-08-08,65722.74,UTR-MOCK-10425,NEFT/UTR-MOCK-10425/GITHUB INC/INV-10425
BNK-109771db,2026-08-11,64081.75,UTR-MOCK-10262,NEFT/UTR-MOCK-10262/UBER BIZ/INV-10262
BNK-e9e4c495,2026-08-05,70887.9,UTR-MOCK-10429-DUP,NEFT/UTR-MOCK-10429/SWIGGY B2B/INV-10429 RE-POST
BNK-f4eb4947,2026-08-07,89868.98,UTR-MOCK-10354,ACH-DR/UTR-MOCK-10354/NOTION HQ/BILL-10354
BNK-769f7bec,2026-08-06,144614.98,UTR-MOCK-10362,IMPS/P2A/UTR-MOCK-10362/RAZORP/SETTLEMENT
BNK-c7938da8,2026-08-19,8635.9,UTR-MOCK-10258,NEFT/UTR-MOCK-10258/FRESHWORKS/INV-10258
BNK-b8425dcf,2026-07-22,196159.15,UTR-MOCK-10027,NEFT/UTR-MOCK-10027/UBER BIZ/INV-10027
BNK-88d1aed0,2026-08-21,209398.05,UTR-MOCK-10404,UPI/CR/UTR-MOCK-10404/PWC INDIA /PAYMENT
BNK-19cd060d,2026-08-20,278204.99,UTR-MOCK-10113,NEFT/UTR-MOCK-10113/WEWORK COWORKING/INV-10113
BNK-230d5140,2026-08-10,197892.37,UTR-MOCK-10120,NEFT/UTR-MOCK-10120/BHARTI AIRTEL/INV-10120
BNK-d0c7322f,2026-07-19,79248.86,UTR-MOCK-10408,UPI/CR/UTR-MOCK-10408/RAZORPAY S/PAYMENT
BNK-1bb98f70,2026-08-03,304382.1,UTR-MOCK-10051,NEFT/UTR-MOCK-10051/SWIGGY B2B/INV-10051
BNK-c04ee202,2026-08-19,81037.84,UTR-MOCK-10427,NEFT/UTR-MOCK-10427/ATLASSIAN JIRA/INV-10427
BNK-ff8e01df,2026-07-16,134230.25,UTR-MOCK-10352,IMPS/P2A/UTR-MOCK-10352/NOTION/SETTLEMENT
BNK-fa698ead,2026-07-26,371707.62,UTR-MOCK-10087,NEFT/UTR-MOCK-10087/RAZORPAY/INV-10087
BNK-74232236,2026-08-01,43194.14,UTR-MOCK-10244,NEFT/UTR-MOCK-10244/BHARTI AIRTEL/INV-10244
BNK-ead04612,2026-08-02,155421.11,UTR-MOCK-10085,NEFT/UTR-MOCK-10085/MSFT AZURE/INV-10085
BNK-e5a113f9,2026-08-01,179165.69,UTR-MOCK-10140,NEFT/UTR-MOCK-10140/PWC CONSULTING/INV-10140
BNK-3de887b4,2026-08-08,68135.09,UTR-MOCK-10416-DUP,NEFT/UTR-MOCK-10416/STRIPE PAY/INV-10416 RE-POST
BNK-10b8c5cf,2026-07-30,240135.02,UTR-MOCK-10382,ACH-DR/UTR-MOCK-10382/AWS CLOUD/BILL-10382
BNK-13362ccb,2026-08-02,174110.7,UTR-MOCK-10208,NEFT/UTR-MOCK-10208/TATA COMM/INV-10208
BNK-1a8b33a2,2026-08-13,401986.14,UTR-MOCK-10259,NEFT/UTR-MOCK-10259/BHARTI AIRTEL/INV-10259
BNK-938dc797,2026-07-24,192068.77,UTR-MOCK-10016,NEFT/UTR-MOCK-10016/FRESHWORKS/INV-10016
BNK-e3b16237,2026-08-18,59502.18,UTR-MOCK-10423-DUP,NEFT/UTR-MOCK-10423/ZOHO CORP/INV-10423 RE-POST
BNK-7aac4eeb,2026-08-12,74282.71,UTR-MOCK-10428,NEFT/UTR-MOCK-10428/GITHUB INC/INV-10428
BNK-61b16d0f,2026-08-15,53134.55,UTR-MOCK-10432,NEFT/UTR-MOCK-10432/WEWORK COWORKING/INV-10432
BNK-bbd4cab6,2026-07-31,118203.62,UTR-MOCK-10297,NEFT/UTR-MOCK-10297/UBER BIZ/INV-10297
BNK-b0f2f9cf,2026-08-10,1757,UTR-MOCK-10441,CHG/IMPS OUTWARD TXN CONVENIENCE FEE + GST/REF-10441
BNK-59839836,2026-08-05,393153.07,UTR-MOCK-10101,NEFT/UTR-MOCK-10101/NOTION HQ/INV-10101
BNK-87f93630,2026-08-07,79899.17,UTR-MOCK-10307,NEFT/UTR-MOCK-10307/TATA COMM/INV-10307
BNK-ae2a21e1,2026-08-04,26021.27,UTR-MOCK-10400,UPI/CR/UTR-MOCK-10400/UBER FOR B/PAYMENT
BNK-7d793975,2026-08-17,353966.69,UTR-MOCK-10033,NEFT/UTR-MOCK-10033/AWS CLOUD/INV-10033
BNK-7731364b,2026-08-02,74191.46,UTR-MOCK-10435,NEFT/UTR-MOCK-10435/GOOGLE WORKSPACE/INV-10435
BNK-1ecfb714,2026-08-07,90783.59,UTR-MOCK-10133,NEFT/UTR-MOCK-10133/BHARTI AIRTEL/INV-10133
BNK-85ab134a,2026-07-31,236888.76,UTR-MOCK-10176,NEFT/UTR-MOCK-10176/RAZORPAY/INV-10176
BNK-3cf53a7f,2026-08-10,32334.61,UTR-MOCK-10418-DUP,NEFT/UTR-MOCK-10418/RAZORPAY/INV-10418 RE-POST
BNK-956c1f6c,2026-07-22,192332.55,UTR-MOCK-10285,NEFT/UTR-MOCK-10285/AWS CLOUD/INV-10285
BNK-aac817a9,2026-07-21,172810.55,UTR-MOCK-10379,ACH-DR/UTR-MOCK-10379/DELHIVERY LOGISTICS/BILL-10379
BNK-db55ca89,2026-08-02,34832.78,UTR-MOCK-10381,ACH-DR/UTR-MOCK-10381/BHARTI AIRTEL/BILL-10381
BNK-401322bc,2026-07-29,90958.69,UTR-MOCK-10169,NEFT/UTR-MOCK-10169/GOOGLE WORKSPACE/INV-10169
BNK-d05ba8e0,2026-08-04,14241.88,UTR-MOCK-10361,RTGS-OUT/UTR-MOCK-10361/FRESHWORKS SERVICES
BNK-3ae19cdc,2026-08-08,220525.45,UTR-MOCK-10383,IMPS/P2A/UTR-MOCK-10383/SWIGGY/SETTLEMENT
BNK-3f4ff110,2026-07-16,187694.48,UTR-MOCK-10330,UPI/CR/UTR-MOCK-10330/RAZORPAY S/PAYMENT
BNK-f4c6ef15,2026-08-01,435469.45,UTR-MOCK-10035,NEFT/UTR-MOCK-10035/UBER BIZ/INV-10035
BNK-878c4877,2026-08-01,240827.18,UTR-MOCK-10141,NEFT/UTR-MOCK-10141/GITHUB INC/INV-10141
BNK-d07681b0,2026-08-12,66135.04,UTR-MOCK-10440,NEFT/UTR-MOCK-10440/TATA COMM/INV-10440
BNK-09458919,2026-07-31,220832.28,UTR-MOCK-10052,NEFT/UTR-MOCK-10052/HUBSPOT MARKETING/INV-10052
BNK-cebca969,2026-08-08,57554.79,UTR-MOCK-10434,NEFT/UTR-MOCK-10434/GOOGLE WORKSPACE/INV-10434
BNK-6073cff7,2026-08-02,360648.84,UTR-MOCK-10178,NEFT/UTR-MOCK-10178/UBER BIZ/INV-10178
BNK-197fd880,2026-08-15,-7531.82,UTR-MOCK-10474,REFUND/CR/UTR-MOCK-10474/ZOHO CORP/OVERPAYMENT REVERSAL
BNK-2df029b3,2026-08-06,97045,UTR-MOCK-10103,NEFT/UTR-MOCK-10103/ZOHO CORP/INV-10103
BNK-c51a4565,2026-08-05,28576.91,UTR-MOCK-10001,NEFT/UTR-MOCK-10001/NOTION HQ/INV-10001
BNK-c93d83eb,2026-08-19,-18580.16,UTR-MOCK-10472,REFUND/CR/UTR-MOCK-10472/DELHIVERY LOGISTICS/OVERPAYMENT REVERSAL
BNK-23f81ba4,2026-08-10,208865.87,UTR-MOCK-10387,IMPS/P2A/UTR-MOCK-10387/PWC CO/SETTLEMENT
BNK-742794cc,2026-08-19,444278.33,UTR-MOCK-10209,NEFT/UTR-MOCK-10209/SWIGGY B2B/INV-10209
BNK-2d87318e,2026-08-17,58908.19,UTR-MOCK-10420-DUP,NEFT/UTR-MOCK-10420/HUBSPOT MARKETING/INV-10420 RE-POST
BNK-f0847185,2026-08-19,97679.17,UTR-MOCK-10390,ACH-DR/UTR-MOCK-10390/NOTION HQ/BILL-10390
BNK-409c9186,2026-08-13,50376.15,UTR-MOCK-10439-DUP,NEFT/UTR-MOCK-10439/ATLASSIAN JIRA/INV-10439 RE-POST
BNK-3fcd253e,2026-08-17,59502.18,UTR-MOCK-10423,NEFT/UTR-MOCK-10423/ZOHO CORP/INV-10423
BNK-39616ff1,2026-08-04,193832.94,UTR-MOCK-10188,NEFT/UTR-MOCK-10188/GITHUB INC/INV-10188
BNK-ee43448d,2026-08-06,31245.05,UTR-MOCK-10438,NEFT/UTR-MOCK-10438/ATLASSIAN JIRA/INV-10438
BNK-997f63de,2026-08-13,208503.72,UTR-MOCK-10344,ACH-DR/UTR-MOCK-10344/MSFT AZURE/BILL-10344
BNK-7da63ad6,2026-07-28,241378.08,UTR-MOCK-10277,NEFT/UTR-MOCK-10277/HUBSPOT MARKETING/INV-10277
BNK-c1237732,2026-08-01,170941.87,UTR-MOCK-10099,NEFT/UTR-MOCK-10099/FRESHWORKS/INV-10099
BNK-cb3739fe,2026-08-08,76337.26,UTR-MOCK-10125,NEFT/UTR-MOCK-10125/SWIGGY B2B/INV-10125
BNK-44a52d79,2026-08-16,47297.45,UTR-MOCK-10263,NEFT/UTR-MOCK-10263/GOOGLE WORKSPACE/INV-10263
BNK-5801b486,2026-08-06,15100.72,UTR-MOCK-10437-DUP,NEFT/UTR-MOCK-10437/PWC CONSULTING/INV-10437 RE-POST
BNK-bb283441,2026-07-22,377082.38,UTR-MOCK-10219,NEFT/UTR-MOCK-10219/HUBSPOT MARKETING/INV-10219
BNK-3a9ad2a3,2026-08-06,15100.72,UTR-MOCK-10437,NEFT/UTR-MOCK-10437/PWC CONSULTING/INV-10437
BNK-aa1e2e23,2026-07-31,2109.5,UTR-MOCK-10442,CHG/CMS MONTHLY MAINTENANCE CHARGES/REF-10442
BNK-3572232f,2026-08-14,-17080.02,UTR-MOCK-10476,REFUND/CR/UTR-MOCK-10476/ZOHO CORP/OVERPAYMENT REVERSAL
BNK-ce38288a,2026-08-09,174837.27,UTR-MOCK-10364,ACH-DR/UTR-MOCK-10364/WEWORK COWORKING/BILL-10364
BNK-2dda64c3,2026-08-17,318333.24,UTR-MOCK-10106,NEFT/UTR-MOCK-10106/FRESHWORKS/INV-10106
BNK-88cc4324,2026-08-12,152134.78,UTR-MOCK-10136,NEFT/UTR-MOCK-10136/NOTION HQ/INV-10136
BNK-084ddfdb,2026-08-08,216445.28,UTR-MOCK-10358,RTGS-OUT/UTR-MOCK-10358/UBER BIZ SERVICES
BNK-383de801,2026-08-17,151274.82,UTR-MOCK-10356,UPI/CR/UTR-MOCK-10356/FRESHWORKS/PAYMENT
BNK-ed3d93a3,2026-08-18,384299.59,UTR-MOCK-10061,NEFT/UTR-MOCK-10061/NOTION HQ/INV-10061
BNK-64d62875,2026-08-20,319533.81,UTR-MOCK-10295,NEFT/UTR-MOCK-10295/HUBSPOT MARKETING/INV-10295
BNK-36cd2ba4,2026-08-16,57861.48,UTR-MOCK-10431-DUP,NEFT/UTR-MOCK-10431/ZOHO CORP/INV-10431 RE-POST
BNK-b06bdf52,2026-08-16,43989.44,UTR-MOCK-10004,NEFT/UTR-MOCK-10004/GITHUB INC/INV-10004
BNK-7730e45e,2026-08-09,119446.53,UTR-MOCK-10161,NEFT/UTR-MOCK-10161/ZOHO CORP/INV-10161
BNK-506346d6,2026-07-26,83933.77,UTR-MOCK-10038,NEFT/UTR-MOCK-10038/PWC CONSULTING/INV-10038
BNK-da82caa4,2026-08-07,303293.37,UTR-MOCK-10214,NEFT/UTR-MOCK-10214/UBER BIZ/INV-10214
BNK-ff629a7d,2026-08-09,410964.6,UTR-MOCK-10075,NEFT/UTR-MOCK-10075/RAZORPAY/INV-10075
BNK-8027f1b9,2026-07-27,808.5,UTR-MOCK-10464,CHG/BANK GUARANTEE SERVICING FEE/REF-10464
BNK-4a7594fc,2026-08-05,53721.66,UTR-MOCK-10422-DUP,NEFT/UTR-MOCK-10422/TATA COMM/INV-10422 RE-POST
BNK-c1f305e9,2026-08-14,229654.82,UTR-MOCK-10179,NEFT/UTR-MOCK-10179/MSFT AZURE/INV-10179
BNK-c5df9e81,2026-07-23,91184.5,UTR-MOCK-10412,UPI/CR/UTR-MOCK-10412/DELHIVERY /PAYMENT
BNK-d5124863,2026-08-13,50376.15,UTR-MOCK-10439,NEFT/UTR-MOCK-10439/ATLASSIAN JIRA/INV-10439
BNK-86989bb3,2026-07-24,425689.83,UTR-MOCK-10049,NEFT/UTR-MOCK-10049/SWIGGY B2B/INV-10049
BNK-143029c8,2026-07-26,300951,UTR-MOCK-10048,NEFT/UTR-MOCK-10048/GITHUB INC/INV-10048
BNK-4bb5d7b2,2026-08-09,-22206.17,UTR-MOCK-10480,REFUND/CR/UTR-MOCK-10480/STRIPE PAY/OVERPAYMENT REVERSAL
BNK-6eb079f4,2026-08-20,234667.29,UTR-MOCK-10159,NEFT/UTR-MOCK-10159/STRIPE PAY/INV-10159
BNK-235a6f24,2026-08-01,227305.32,UTR-MOCK-10386,ACH-DR/UTR-MOCK-10386/KPMG AUDIT/BILL-10386
BNK-341bad2d,2026-08-20,395383.38,UTR-MOCK-10292,NEFT/UTR-MOCK-10292/FRESHWORKS/INV-10292
BNK-f7667856,2026-08-02,55082.48,UTR-MOCK-10426,NEFT/UTR-MOCK-10426/HUBSPOT MARKETING/INV-10426
BNK-613db75f,2026-08-15,53134.55,UTR-MOCK-10432-DUP,NEFT/UTR-MOCK-10432/WEWORK COWORKING/INV-10432 RE-POST
BNK-090b2d7d,2026-08-16,120848.77,UTR-MOCK-10367,RTGS-OUT/UTR-MOCK-10367/BHARTI AIRTEL SERVICES
BNK-2c899f63,2026-08-16,220395.12,UTR-MOCK-10020,NEFT/UTR-MOCK-10020/GOOGLE WORKSPACE/INV-10020
BNK-a745d515,2026-08-13,-20544.19,UTR-MOCK-10469,REFUND/CR/UTR-MOCK-10469/GITHUB INC/OVERPAYMENT REVERSAL
BNK-ed998999,2026-07-27,3944.72,UTR-MOCK-10460,CHG/BANK GUARANTEE SERVICING FEE/REF-10460
BNK-0df3252d,2026-08-17,363692.69,UTR-MOCK-10300,NEFT/UTR-MOCK-10300/HUBSPOT MARKETING/INV-10300
BNK-6635c6ad,2026-08-15,336222.96,UTR-MOCK-10018,NEFT/UTR-MOCK-10018/FRESHWORKS/INV-10018
BNK-bf575253,2026-08-20,396014.89,UTR-MOCK-10012,NEFT/UTR-MOCK-10012/AWS CLOUD/INV-10012
BNK-0f9c9c59,2026-07-18,164450.68,UTR-MOCK-10395,UPI/CR/UTR-MOCK-10395/SLACK TECH/PAYMENT
BNK-30704259,2026-08-13,449058.84,UTR-MOCK-10181,NEFT/UTR-MOCK-10181/TATA COMM/INV-10181
BNK-0201a3a9,2026-08-18,239142.81,UTR-MOCK-10147,NEFT/UTR-MOCK-10147/DELHIVERY LOGISTICS/INV-10147
BNK-2e877ca1,2026-08-09,32334.61,UTR-MOCK-10418,NEFT/UTR-MOCK-10418/RAZORPAY/INV-10418
BNK-a78fdaaa,2026-08-07,68135.09,UTR-MOCK-10416,NEFT/UTR-MOCK-10416/STRIPE PAY/INV-10416
BNK-9572ebc7,2026-08-12,74282.71,UTR-MOCK-10428-DUP,NEFT/UTR-MOCK-10428/GITHUB INC/INV-10428 RE-POST
BNK-55870c92,2026-08-14,167858.62,UTR-MOCK-10495,DIRECT-TRANSFER/MISC-EQUIPMENT-EXPENSE/UTR-MOCK-10495/UNRECORDED
BNK-6f6ede8c,2026-08-10,294345.27,UTR-MOCK-10130,NEFT/UTR-MOCK-10130/SLACK TECH/INV-10130
BNK-517c908e,2026-08-11,218688.73,UTR-MOCK-10234,NEFT/UTR-MOCK-10234/NOTION HQ/INV-10234
BNK-c5a5dd73,2026-08-11,146981.62,UTR-MOCK-10086,NEFT/UTR-MOCK-10086/FRESHWORKS/INV-10086
BNK-399eb505,2026-07-24,395084.07,UTR-MOCK-10005,NEFT/UTR-MOCK-10005/DELHIVERY LOGISTICS/INV-10005
BNK-74733d7a,2026-08-15,99047.38,UTR-MOCK-10343,IMPS/P2A/UTR-MOCK-10343/DELHIV/SETTLEMENT
BNK-d3af0b2c,2026-08-17,24763.23,UTR-MOCK-10433-DUP,NEFT/UTR-MOCK-10433/STRIPE PAY/INV-10433 RE-POST
BNK-57f270ed,2026-07-28,5455.56,UTR-MOCK-10077,NEFT/UTR-MOCK-10077/FRESHWORKS/INV-10077
BNK-decc3d9e,2026-08-12,129922.09,UTR-MOCK-10021,NEFT/UTR-MOCK-10021/AWS CLOUD/INV-10021
BNK-f4d4fd8f,2026-08-19,114577.11,UTR-MOCK-10115,NEFT/UTR-MOCK-10115/SLACK TECH/INV-10115
BNK-fcb1bfcb,2026-07-30,338525.83,UTR-MOCK-10029,NEFT/UTR-MOCK-10029/DELHIVERY LOGISTICS/INV-10029
BNK-e44cb1b9,2026-08-14,105283.04,UTR-MOCK-10483,DIRECT-TRANSFER/MISC-EQUIPMENT-EXPENSE/UTR-MOCK-10483/UNRECORDED
BNK-b878014e,2026-08-17,66271.09,UTR-MOCK-10280,NEFT/UTR-MOCK-10280/DELHIVERY LOGISTICS/INV-10280
BNK-ed74a475,2026-07-19,157355.96,UTR-MOCK-10327,UPI/CR/UTR-MOCK-10327/DELHIVERY /PAYMENT
BNK-b0edbc55,2026-07-26,306591.55,UTR-MOCK-10003,NEFT/UTR-MOCK-10003/ZOHO CORP/INV-10003
BNK-c5d90439,2026-08-12,4165.5,UTR-MOCK-10462,CHG/CURRENT ACCOUNT QUARTERLY LEDGER FOLIO CHG/REF-10462
BNK-7b8429a2,2026-08-15,434148.97,UTR-MOCK-10089,NEFT/UTR-MOCK-10089/STRIPE PAY/INV-10089
BNK-61b17df4,2026-08-02,199645.21,UTR-MOCK-10164,NEFT/UTR-MOCK-10164/SWIGGY B2B/INV-10164
BNK-95a9d60c,2026-08-03,81382.84,UTR-MOCK-10172,NEFT/UTR-MOCK-10172/WEWORK COWORKING/INV-10172
BNK-52017de6,2026-07-31,443833.76,UTR-MOCK-10163,NEFT/UTR-MOCK-10163/SLACK TECH/INV-10163
BNK-4ec19d29,2026-08-08,376820.29,UTR-MOCK-10192,NEFT/UTR-MOCK-10192/SLACK TECH/INV-10192
BNK-14ebb0b2,2026-08-03,96252.45,UTR-MOCK-10251,NEFT/UTR-MOCK-10251/HUBSPOT MARKETING/INV-10251
BNK-ae3e9965,2026-07-30,229126.58,UTR-MOCK-10201,NEFT/UTR-MOCK-10201/UBER BIZ/INV-10201
BNK-2611207b,2026-08-20,81037.84,UTR-MOCK-10427-DUP,NEFT/UTR-MOCK-10427/ATLASSIAN JIRA/INV-10427 RE-POST
BNK-9e30c1b9,2026-08-16,381119.19,UTR-MOCK-10182,NEFT/UTR-MOCK-10182/ATLASSIAN JIRA/INV-10182
BNK-99f8f15c,2026-08-12,9454.49,UTR-MOCK-10315,NEFT/UTR-MOCK-10315/NOTION HQ/INV-10315
BNK-e9130d8e,2026-08-15,355886.76,UTR-MOCK-10298,NEFT/UTR-MOCK-10298/WEWORK COWORKING/INV-10298
BNK-acd6253e,2026-07-30,180143.05,UTR-MOCK-10042,NEFT/UTR-MOCK-10042/MSFT AZURE/INV-10042
BNK-e8eec86d,2026-07-30,410930.1,UTR-MOCK-10082,NEFT/UTR-MOCK-10082/KPMG AUDIT/INV-10082
BNK-9f8e5989,2026-07-28,314822.06,UTR-MOCK-10301,NEFT/UTR-MOCK-10301/MSFT AZURE/INV-10301
BNK-77712c11,2026-07-27,82932.22,UTR-MOCK-10410,UPI/CR/UTR-MOCK-10410/PWC INDIA /PAYMENT
BNK-a11dd630,2026-08-18,330616.47,UTR-MOCK-10215,NEFT/UTR-MOCK-10215/KPMG AUDIT/INV-10215
BNK-de86c8e5,2026-08-13,157543.64,UTR-MOCK-10368,ACH-DR/UTR-MOCK-10368/UBER BIZ/BILL-10368
BNK-6cb884a9,2026-08-09,408451.92,UTR-MOCK-10186,NEFT/UTR-MOCK-10186/KPMG AUDIT/INV-10186
BNK-af9389c3,2026-07-26,68860.92,UTR-MOCK-10091,NEFT/UTR-MOCK-10091/NOTION HQ/INV-10091
