id,date,amount,invoice_ref,payee
LED-bbd4cab6,2026-07-31,118203.62,INV-MOCK-10297,Uber for Business Solutions
LED-5d24e917,2026-07-31,46522.06,INV-MOCK-10236,Uber for Business Solutions
LED-02674002,2026-08-08,113386.4,INV-MOCK-10338,Delhivery Logistics Ltd
LED-17ddc907,2026-08-12,24277.52,INV-MOCK-10157,KPMG India Advisory
LED-99f8f15c,2026-08-12,9454.49,INV-MOCK-10315,Notion Labs Inc
LED-40ed886e,2026-08-16,109140.63,INV-MOCK-10223,Slack Technologies LLC
LED-4f94fcfb,2026-08-08,8586.56,INV-MOCK-10254,KPMG India Advisory
LED-11308ac7,2026-08-05,204008.98,INV-MOCK-10342,Razorpay Software Pvt Ltd
LED-19f11f7a,2026-08-15,328299.84,INV-MOCK-10284,Google Cloud India Pvt Ltd
LED-e29942c2,2026-08-03,374762.91,INV-MOCK-10123,Delhivery Logistics Ltd
LED-fafa1b53,2026-07-27,105357.73,INV-MOCK-10122,Zoho Corporation Pvt Ltd
LED-2c899f63,2026-08-16,220395.12,INV-MOCK-10020,Google Cloud India Pvt Ltd
LED-a4fb90d5,2026-08-13,60565.9,INV-MOCK-10144,Airtel Enterprise Telecom
LED-c71b5078,2026-08-10,215886.54,INV-MOCK-10310,Freshworks Technologies
LED-2a576f83,2026-08-11,420502.75,INV-MOCK-10313,KPMG India Advisory
LED-bbec5553,2026-08-15,181050.7,INV-MOCK-10341,PwC India Tax Consulting
LED-12f313db,2026-08-05,435532.17,INV-MOCK-10249,PwC India Tax Consulting
LED-6b931ff2,2026-08-16,355702.74,INV-MOCK-10070,Delhivery Logistics Ltd
LED-60b910e4,2026-08-10,362935.09,INV-MOCK-10240,Razorpay Software Pvt Ltd
LED-b920f212,2026-07-24,120948.22,INV-MOCK-10333,Uber for Business Solutions
LED-7d793975,2026-08-17,353966.69,INV-MOCK-10033,Amazon Web Services India
LED-96a1ce64,2026-08-07,339344.28,INV-MOCK-10238,Stripe India Payments
LED-59839836,2026-08-05,393153.07,INV-MOCK-10101,Notion Labs Inc
LED-7730e45e,2026-08-09,119446.53,INV-MOCK-10161,Zoho Corporation Pvt Ltd
LED-e985dd2c,2026-08-05,13164.42,INV-MOCK-10269,KPMG India Advisory
LED-bf4864bf,2026-07-19,212242.95,INV-MOCK-10326,Amazon Web Services India
LED-5bf075d6,2026-07-28,123548.46,INV-MOCK-10232,Atlassian Pty Ltd
LED-9f8e5989,2026-07-28,314822.06,INV-MOCK-10301,Microsoft Regional Sales
LED-94f59362,2026-07-28,72733.47,INV-MOCK-10074,Tata Communications Ltd
LED-1ced74d4,2026-07-30,112372.11,INV-MOCK-10211,Google Cloud India Pvt Ltd
LED-14229844,2026-08-09,112995.72,INV-MOCK-10332,Atlassian Pty Ltd
LED-4ec19d29,2026-08-08,376820.29,INV-MOCK-10192,Slack Technologies LLC
LED-23af8d52,2026-08-15,22632.89,INV-MOCK-10339,Razorpay Software Pvt Ltd
LED-ed3d93a3,2026-08-18,384299.59,INV-MOCK-10061,Notion Labs Inc
LED-008dd9bc,2026-07-25,414375.9,INV-MOCK-10066,Microsoft Regional Sales
LED-96f70a61,2026-08-16,127170.38,INV-MOCK-10247,Tata Communications Ltd
LED-fa698ead,2026-07-26,371707.62,INV-MOCK-10087,Razorpay Software Pvt Ltd
LED-26e5b680,2026-08-12,209346.02,INV-MOCK-10054,PwC India Tax Consulting
LED-7da63ad6,2026-07-28,241378.08,INV-MOCK-10277,HubSpot Ireland Ltd
LED-16eabc32,2026-08-04,301126.66,INV-MOCK-10322,WeWork India Management
LED-76fab75d,2026-08-16,307720.73,INV-MOCK-10302,Slack Technologies LLC
LED-8b800df6,2026-08-02,236397.47,INV-MOCK-10039,Uber for Business Solutions
LED-40352a16,2026-08-16,242963.62,INV-MOCK-10335,Airtel Enterprise Telecom
LED-5dc601af,2026-07-24,314097.04,INV-MOCK-10202,Notion Labs Inc
LED-758e902f,2026-08-01,237215.56,INV-MOCK-10228,Microsoft Regional Sales
LED-8cce9a2f,2026-07-29,61206.76,INV-MOCK-10321,Airtel Enterprise Telecom
LED-14ebb0b2,2026-08-03,96252.45,INV-MOCK-10251,HubSpot Ireland Ltd
LED-3458d135,2026-08-07,31701.7,INV-MOCK-10015,Tata Communications Ltd
LED-acaff2b8,2026-08-15,408731.39,INV-MOCK-10011,Tata Communications Ltd
LED-001dce10,2026-08-03,132812.99,INV-MOCK-10241,Google Cloud India Pvt Ltd
LED-401322bc,2026-07-29,90958.69,INV-MOCK-10169,Google Cloud India Pvt Ltd
LED-200f2005,2026-08-15,371789.26,INV-MOCK-10289,Stripe India Payments
LED-02f7e207,2026-08-08,202136.37,INV-MOCK-10013,Razorpay Software Pvt Ltd
LED-8197548a,2026-08-10,419242.18,INV-MOCK-10132,Swiggy Corporate Catering
LED-80af584c,2026-08-12,55429.44,INV-MOCK-10347,WeWork India Management
LED-11151d7f,2026-08-06,325364.92,INV-MOCK-10047,Tata Communications Ltd
LED-86989bb3,2026-07-24,425689.83,INV-MOCK-10049,Swiggy Corporate Catering
LED-6d6f27c3,2026-08-07,61732.76,INV-MOCK-10245,Tata Communications Ltd
LED-3b3e5990,2026-07-30,444049.26,INV-MOCK-10067,GitHub Enterprise Services
LED-aa476b2e,2026-08-19,107014.92,INV-MOCK-10229,Amazon Web Services India
LED-b7daf60e,2026-08-02,172571.36,INV-MOCK-10142,Slack Technologies LLC
LED-6cb884a9,2026-08-09,408451.92,INV-MOCK-10186,KPMG India Advisory
LED-db55ca89,2026-07-30,34832.78,INV-MOCK-10381,Airtel Enterprise Telecom
LED-c7938da8,2026-08-19,8635.9,INV-MOCK-10258,Freshworks Technologies
LED-029c87f2,2026-08-05,295262.31,INV-MOCK-10323,Delhivery Logistics Ltd
LED-10b8c5cf,2026-07-27,240135.02,INV-MOCK-10382,Amazon Web Services India
LED-60cdbee0,2026-08-14,226145.89,INV-MOCK-10336,Slack Technologies LLC
LED-969b231a,2026-08-09,275880.74,INV-MOCK-10006,KPMG India Advisory
LED-89224259,2026-07-29,106195.35,INV-MOCK-10376,Google Cloud India Pvt Ltd
LED-742794cc,2026-08-19,444278.33,INV-MOCK-10209,Swiggy Corporate Catering
LED-586fb1f1,2026-07-23,302152.49,INV-MOCK-10165,Zoho Corporation Pvt Ltd
LED-26f0f969,2026-08-02,90004.07,INV-MOCK-10340,Notion Labs Inc
LED-297aba6d,2026-08-06,149862.82,INV-MOCK-10275,Uber for Business Solutions
LED-90134110,2026-07-30,135189.79,INV-MOCK-10384,Amazon Web Services India
LED-72b05833,2026-08-20,379967.87,INV-MOCK-10312,Airtel Enterprise Telecom
LED-d05ba8e0,2026-08-07,14241.88,INV-MOCK-10361,Freshworks Technologies
LED-2a3abae6,2026-08-05,112737.43,INV-MOCK-10204,Atlassian Pty Ltd
LED-fd036def,2026-08-18,259259.62,INV-MOCK-10117,Uber for Business Solutions
LED-f4eb4947,2026-08-06,89868.98,INV-MOCK-10354,Notion Labs Inc
LED-fcb1bfcb,2026-07-30,338525.83,INV-MOCK-10029,Delhivery Logistics Ltd
LED-383de801,2026-08-15,151274.82,INV-MOCK-10356,Freshworks Technologies
LED-6770a893,2026-07-19,245035.56,INV-MOCK-10357,Microsoft Regional Sales
LED-7d935172,2026-07-22,66540.46,INV-MOCK-10024,Slack Technologies LLC
LED-ec6eca29,2026-08-08,12970.69,INV-MOCK-10303,Microsoft Regional Sales
LED-0d06bbcf,2026-07-24,278299.11,INV-MOCK-10286,Swiggy Corporate Catering
LED-896042fb,2026-08-06,201845.43,INV-MOCK-10135,KPMG India Advisory
LED-86f2eefe,2026-07-31,336891.99,INV-MOCK-10265,HubSpot Ireland Ltd
LED-a07c4f51,2026-08-15,350136.13,INV-MOCK-10046,Atlassian Pty Ltd
LED-f17e0eb1,2026-08-18,232388.52,INV-MOCK-10248,Freshworks Technologies
LED-a407e658,2026-08-07,377481.95,INV-MOCK-10171,Stripe India Payments
LED-d565fd27,2026-08-16,24763.23,INV-MOCK-10433,Stripe India Payments
LED-74232236,2026-08-01,43194.14,INV-MOCK-10244,Airtel Enterprise Telecom
LED-0ded1c50,2026-07-21,33575.29,INV-MOCK-10365,Razorpay Software Pvt Ltd
LED-0e3c2460,2026-08-14,227189.42,INV-MOCK-10069,Airtel Enterprise Telecom
LED-b4775b9c,2026-07-30,288570.48,INV-MOCK-10137,Microsoft Regional Sales
LED-f534ae46,2026-08-14,101846.92,INV-MOCK-10090,Delhivery Logistics Ltd
LED-97fa1cd0,2026-07-28,256919.19,INV-MOCK-10325,HubSpot Ireland Ltd
LED-f4d4fd8f,2026-08-19,114577.11,INV-MOCK-10115,Slack Technologies LLC
LED-1568cb38,2026-08-19,253989.47,INV-MOCK-10242,Notion Labs Inc
LED-7dc5266a,2026-08-19,268909.09,INV-MOCK-10273,Razorpay Software Pvt Ltd
LED-2e4a5dce,2026-07-19,207471.86,INV-MOCK-10366,Zoho Corporation Pvt Ltd
LED-3a9ad2a3,2026-08-06,15100.72,INV-MOCK-10437,PwC India Tax Consulting
LED-5e2ffd6a,2026-08-05,-41252.16,INV-MOCK-10479,PwC India Tax Consulting
LED-9472431d,2026-07-25,134167.77,INV-MOCK-10149,WeWork India Management
LED-ead04612,2026-08-02,155421.11,INV-MOCK-10085,Microsoft Regional Sales
LED-d07681b0,2026-08-12,66135.04,INV-MOCK-10440,Tata Communications Ltd
LED-475e0d0b,2026-08-12,194489.37,INV-MOCK-10304,Stripe India Payments
LED-b3b258b3,2026-08-08,57510.31,INV-MOCK-10064,Razorpay Software Pvt Ltd
LED-7eb20162,2026-08-04,53721.66,INV-MOCK-10422,Tata Communications Ltd
LED-5b3332fe,2026-07-27,47889.52,INV-MOCK-10278,Freshworks Technologies
LED-5bbfd77f,2026-08-17,224886.74,INV-MOCK-10110,Delhivery Logistics Ltd
LED-230d5140,2026-08-10,197892.37,INV-MOCK-10120,Airtel Enterprise Telecom
LED-6635c6ad,2026-08-15,336222.96,INV-MOCK-10018,Freshworks Technologies
LED-c1a631e2,2026-08-10,16122.51,INV-MOCK-10148,Google Cloud India Pvt Ltd
LED-1a9adcec,2026-08-04,70887.9,INV-MOCK-10429,Swiggy Corporate Catering
LED-775919de,2026-07-30,193636.67,INV-MOCK-10008,Google Cloud India Pvt Ltd
LED-ad36acf6,2026-08-17,428709.36,INV-MOCK-10118,Uber for Business Solutions
LED-dc60f74e,2026-08-19,362496.77,INV-MOCK-10143,Swiggy Corporate Catering
LED-e606a0bb,2026-07-27,277778.09,INV-MOCK-10261,HubSpot Ireland Ltd
LED-5dc1d9b7,2026-08-13,32887.4,INV-MOCK-10032,Notion Labs Inc
LED-517c908e,2026-08-11,218688.73,INV-MOCK-10234,Notion Labs Inc
LED-200b9904,2026-07-21,196869.87,INV-MOCK-10402,Tata Communications Ltd
LED-1a8b33a2,2026-08-13,401986.14,INV-MOCK-10259,Airtel Enterprise Telecom
LED-579b038b,2026-08-08,195451.24,INV-MOCK-10268,Uber for Business Solutions
LED-e8a79ab0,2026-08-16,320806.32,INV-MOCK-10180,PwC India Tax Consulting
LED-a9b2c28b,2026-08-13,66291.38,INV-MOCK-10096,GitHub Enterprise Services
LED-5d6e3538,2026-08-12,385452.77,INV-MOCK-10030,Airtel Enterprise Telecom
LED-87f93630,2026-08-07,79899.17,INV-MOCK-10307,Tata Communications Ltd
LED-4fdfb3d0,2026-08-02,167383.3,INV-MOCK-10353,WeWork India Management
LED-e9130d8e,2026-08-15,355886.76,INV-MOCK-10298,WeWork India Management
LED-a1b2d7fc,2026-08-11,440344.04,INV-MOCK-10131,Microsoft Regional Sales
LED-e4f8ca25,2026-08-01,266938.12,INV-MOCK-10291,Tata Communications Ltd
LED-e429e71a,2026-08-02,109277.43,INV-MOCK-10200,Zoho Corporation Pvt Ltd
LED-ca42ba83,2026-07-27,331935.96,INV-MOCK-10319,Microsoft Regional Sales
LED-3fcd253e,2026-08-17,59502.18,INV-MOCK-10423,Zoho Corporation Pvt Ltd
LED-dcd0473d,2026-07-29,372854.95,INV-MOCK-10235,Freshworks Technologies
LED-fc94da4c,2026-07-28,81150.83,INV-MOCK-10253,Google Cloud India Pvt Ltd
LED-7731364b,2026-08-02,74191.46,INV-MOCK-10435,Google Cloud India Pvt Ltd
LED-1ac7317f,2026-08-08,-22086.3,INV-MOCK-10470,Microsoft Regional Sales
LED-0f9c9c59,2026-07-17,164450.68,INV-MOCK-10395,Slack Technologies LLC
LED-09797a04,2026-08-05,54984.96,INV-MOCK-10391,Slack Technologies LLC
LED-7d392ad3,2026-07-30,94022.36,INV-MOCK-10083,Notion Labs Inc
LED-919c51b0,2026-07-26,27504.98,INV-MOCK-10154,Atlassian Pty Ltd
LED-9a86b367,2026-08-12,23711.04,INV-MOCK-10145,Freshworks Technologies
LED-a11dd630,2026-08-18,330616.47,INV-MOCK-10215,KPMG India Advisory
LED-5bbabb7b,2026-07-30,8696.7,INV-MOCK-10126,Tata Communications Ltd
LED-b91f2b56,2026-08-17,186970.24,INV-MOCK-10146,Notion Labs Inc
LED-52017de6,2026-07-31,443833.76,INV-MOCK-10163,Slack Technologies LLC
LED-938dc797,2026-07-24,192068.77,INV-MOCK-10016,Freshworks Technologies
LED-afffe2fa,2026-07-26,317962.94,INV-MOCK-10177,Amazon Web Services India
LED-341bad2d,2026-08-20,395383.38,INV-MOCK-10292,Freshworks Technologies
LED-ed856f0e,2026-08-02,45196.54,INV-MOCK-10057,Airtel Enterprise Telecom
LED-f0847185,2026-08-20,97679.17,INV-MOCK-10390,Notion Labs Inc
LED-41aa5d82,2026-07-19,185109.38,INV-MOCK-10397,HubSpot Ireland Ltd
LED-2ca1ed77,2026-08-11,351047.65,INV-MOCK-10041,Amazon Web Services India
LED-1bb98f70,2026-08-03,304382.1,INV-MOCK-10051,Swiggy Corporate Catering
LED-262a67aa,2026-07-24,20077.28,INV-MOCK-10266,Uber for Business Solutions
LED-a081d10f,2026-08-20,215949.28,INV-MOCK-10239,Freshworks Technologies
LED-1a8cbde6,2026-08-07,56553.54,INV-MOCK-10311,Tata Communications Ltd
LED-385ed607,2026-07-31,109187.22,INV-MOCK-10370,Uber for Business Solutions
LED-f992ec2c,2026-07-27,64308.37,INV-MOCK-10220,Notion Labs Inc
LED-b06bdf52,2026-08-16,43989.44,INV-MOCK-10004,GitHub Enterprise Services
LED-d9307fb4,2026-08-08,355720.88,INV-MOCK-10025,Delhivery Logistics Ltd
LED-bb013fe6,2026-08-10,110441.38,INV-MOCK-10377,HubSpot Ireland Ltd
LED-7aac4eeb,2026-08-12,74282.71,INV-MOCK-10428,GitHub Enterprise Services
LED-f1326fe5,2026-08-05,-18392.73,INV-MOCK-10467,Zoho Corporation Pvt Ltd
LED-ce87cb8a,2026-08-10,433042.83,INV-MOCK-10026,Stripe India Payments
LED-2a1bacc3,2026-08-08,58866.89,INV-MOCK-10378,Notion Labs Inc
LED-050e0d6a,2026-08-20,113257.2,INV-MOCK-10401,Amazon Web Services India
LED-090b2d7d,2026-08-17,120848.77,INV-MOCK-10367,Airtel Enterprise Telecom
LED-3e3c963e,2026-08-09,325161.52,INV-MOCK-10174,Zoho Corporation Pvt Ltd
LED-30e4b846,2026-07-17,152338.93,INV-MOCK-10393,Amazon Web Services India
LED-f4b5edb8,2026-08-07,369506.57,INV-MOCK-10014,PwC India Tax Consulting
LED-e81ea3ce,2026-08-04,148750.22,INV-MOCK-10334,Slack Technologies LLC
LED-769f7bec,2026-08-03,144614.98,INV-MOCK-10362,Razorpay Software Pvt Ltd
LED-1be11ca6,2026-08-14,-26283.42,INV-MOCK-10478,Zoho Corporation Pvt Ltd
LED-30704259,2026-08-13,449058.84,INV-MOCK-10181,Tata Communications Ltd
LED-ea1ffe22,2026-08-01,402758.53,INV-MOCK-10205,Amazon Web Services India
LED-37f3c492,2026-08-18,40281.94,INV-MOCK-10320,Delhivery Logistics Ltd
LED-0e6e3069,2026-07-18,43172.42,INV-MOCK-10405,Swiggy Corporate Catering
LED-8bc3a161,2026-08-20,422923.53,INV-MOCK-10299,Tata Communications Ltd
LED-70618a40,2026-07-25,75506.66,INV-MOCK-10056,KPMG India Advisory
LED-516940b0,2026-07-30,449868.97,INV-MOCK-10233,HubSpot Ireland Ltd
LED-e8b47fcd,2026-08-16,36531.74,INV-MOCK-10419,Slack Technologies LLC
LED-6e1a990e,2026-08-08,65722.74,INV-MOCK-10425,GitHub Enterprise Services
LED-95899636,2026-07-22,217791.67,INV-MOCK-10375,GitHub Enterprise Services
LED-5c6d1ea1,2026-08-11,-17640.31,INV-MOCK-10473,GitHub Enterprise Services
LED-91297db3,2026-07-27,394571.89,INV-MOCK-10019,Razorpay Software Pvt Ltd
LED-b9b6c9c6,2026-08-11,160456.79,INV-MOCK-10346,Google Cloud India Pvt Ltd
LED-6efe9c0d,2026-08-15,57861.48,INV-MOCK-10431,Zoho Corporation Pvt Ltd
LED-8d12a879,2026-08-10,242492.66,INV-MOCK-10187,Swiggy Corporate Catering
LED-7dcc4504,2026-07-31,243061.19,INV-MOCK-10331,Razorpay Software Pvt Ltd
LED-1a8b6481,2026-07-23,129237.59,INV-MOCK-10345,PwC India Tax Consulting
LED-c5d7af20,2026-08-13,156522.95,INV-MOCK-10260,GitHub Enterprise Services
LED-a394b948,2026-07-19,234484.92,INV-MOCK-10328,Uber for Business Solutions
LED-f3f00177,2026-08-06,79919.96,INV-MOCK-10196,KPMG India Advisory
LED-623e74be,2026-08-06,146639.77,INV-MOCK-10043,Atlassian Pty Ltd
LED-2feea2a8,2026-08-12,398552.17,INV-MOCK-10198,Tata Communications Ltd
LED-f4c6ef15,2026-08-01,435469.45,INV-MOCK-10035,Uber for Business Solutions
LED-5a7cd48c,2026-08-18,87843.15,INV-MOCK-10348,Tata Communications Ltd
LED-5d830e08,2026-07-22,171525.14,INV-MOCK-10028,Razorpay Software Pvt Ltd
LED-b4b22bfc,2026-08-19,355824.89,INV-MOCK-10210,KPMG India Advisory
LED-4bb5d7b2,2026-08-07,-22206.17,INV-MOCK-10480,Stripe India Payments
LED-3a1e6852,2026-08-05,103146.22,INV-MOCK-10337,Tata Communications Ltd
LED-6f6ede8c,2026-08-10,294345.27,INV-MOCK-10130,Slack Technologies LLC
LED-ae3e9965,2026-07-30,229126.58,INV-MOCK-10201,Uber for Business Solutions
LED-d6003eb5,2026-08-16,77675.52,INV-MOCK-10398,Zoho Corporation Pvt Ltd
LED-49c519d2,2026-08-02,393635.56,INV-MOCK-10151,HubSpot Ireland Ltd
LED-5bf653dc,2026-08-07,177985.07,INV-MOCK-10276,Swiggy Corporate Catering
LED-2e877ca1,2026-08-09,32334.61,INV-MOCK-10418,Razorpay Software Pvt Ltd
LED-350e24fd,2026-08-01,98094.2,INV-MOCK-10317,Uber for Business Solutions
LED-ed5383c1,2026-08-09,197099.29,INV-MOCK-10044,Freshworks Technologies
LED-23f81ba4,2026-08-13,208865.87,INV-MOCK-10387,PwC India Tax Consulting
LED-b932cf7a,2026-07-23,237967.32,INV-MOCK-10355,Stripe India Payments
LED-1170c893,2026-08-17,141902.31,INV-MOCK-10380,Amazon Web Services India
LED-112267bc,2026-08-17,176954.73,INV-MOCK-10134,Google Cloud India Pvt Ltd
LED-3572232f,2026-08-12,-17080.02,INV-MOCK-10476,Zoho Corporation Pvt Ltd
LED-19015903,2026-07-23,217182.38,INV-MOCK-10173,Microsoft Regional Sales
LED-91941fbb,2026-07-22,209849.37,INV-MOCK-10414,PwC India Tax Consulting
LED-0e94cf18,2026-07-28,144732.74,INV-MOCK-10031,PwC India Tax Consulting
LED-11752bed,2026-08-11,354439.76,INV-MOCK-10183,PwC India Tax Consulting
LED-3393cc75,2026-08-01,149717.14,INV-MOCK-10124,Slack Technologies LLC
LED-197fd880,2026-08-13,-7531.82,INV-MOCK-10474,Zoho Corporation Pvt Ltd
LED-eaf407c2,2026-08-17,409683.7,INV-MOCK-10231,Swiggy Corporate Catering
LED-b8425dcf,2026-07-22,196159.15,INV-MOCK-10027,Uber for Business Solutions
LED-ab57e4b6,2026-08-10,364954.26,INV-MOCK-10034,GitHub Enterprise Services
LED-5c253826,2026-08-04,27380.44,INV-MOCK-10050,Razorpay Software Pvt Ltd
LED-88699826,2026-08-19,443859.06,INV-MOCK-10036,Airtel Enterprise Telecom
LED-e60955e1,2026-07-19,10028.22,INV-MOCK-10407,HubSpot Ireland Ltd
LED-42a472e2,2026-08-01,265582.08,INV-MOCK-10255,GitHub Enterprise Services
LED-b0edbc55,2026-07-26,306591.55,INV-MOCK-10003,Zoho Corporation Pvt Ltd
LED-50955157,2026-08-20,193870.59,INV-MOCK-10129,Atlassian Pty Ltd
LED-e71202e1,2026-08-12,107376.38,INV-MOCK-10010,Swiggy Corporate Catering
LED-2e2f0cbc,2026-08-11,31872.89,INV-MOCK-10139,Notion Labs Inc
LED-8d015ed8,2026-08-17,81791.31,INV-MOCK-10270,Atlassian Pty Ltd
LED-9091f849,2026-08-01,77784.81,INV-MOCK-10009,KPMG India Advisory
LED-443ab677,2026-08-04,76712.08,INV-MOCK-10007,Swiggy Corporate Catering
LED-91d98b85,2026-08-19,34490.65,INV-MOCK-10216,Tata Communications Ltd
LED-bf575253,2026-08-20,396014.89,INV-MOCK-10012,Amazon Web Services India
LED-d61417c3,2026-08-04,393036.31,INV-MOCK-10324,Swiggy Corporate Catering
LED-3d00f058,2026-07-21,77883.7,INV-MOCK-10415,KPMG India Advisory
LED-17827bf0,2026-08-14,435777.68,INV-MOCK-10023,PwC India Tax Consulting
LED-b0d50708,2026-08-08,173698.6,INV-MOCK-10194,HubSpot Ireland Ltd
LED-e6f5622a,2026-08-08,206517.9,INV-MOCK-10246,Slack Technologies LLC
LED-084ddfdb,2026-08-09,216445.28,INV-MOCK-10358,Uber for Business Solutions
LED-4f911d53,2026-08-01,11675.54,INV-MOCK-10206,Atlassian Pty Ltd
LED-77712c11,2026-07-30,82932.22,INV-MOCK-10410,PwC India Tax Consulting
LED-aac817a9,2026-07-24,172810.55,INV-MOCK-10379,Delhivery Logistics Ltd
LED-c04ee202,2026-08-19,81037.84,INV-MOCK-10427,Atlassian Pty Ltd
LED-6073cff7,2026-08-02,360648.84,INV-MOCK-10178,Uber for Business Solutions
LED-cb3739fe,2026-08-08,76337.26,INV-MOCK-10125,Swiggy Corporate Catering
LED-5fcee7fe,2026-08-17,246569.16,INV-MOCK-10045,KPMG India Advisory
LED-07aa9f71,2026-07-27,420575.88,INV-MOCK-10226,Stripe India Payments
LED-94ef50d8,2026-07-19,214339.43,INV-MOCK-10351,Razorpay Software Pvt Ltd
LED-928856df,2026-07-24,31907.6,INV-MOCK-10309,Microsoft Regional Sales
LED-19ae0d80,2026-08-03,224359.91,INV-MOCK-10156,Amazon Web Services India
LED-06358047,2026-07-25,271305.39,INV-MOCK-10017,Airtel Enterprise Telecom
LED-997f63de,2026-08-10,208503.72,INV-MOCK-10344,Microsoft Regional Sales
LED-2e3da7fd,2026-07-30,382968.63,INV-MOCK-10316,PwC India Tax Consulting
LED-6eb079f4,2026-08-20,234667.29,INV-MOCK-10159,Stripe India Payments
LED-399eb505,2026-07-24,395084.07,INV-MOCK-10005,Delhivery Logistics Ltd
LED-e8eec86d,2026-07-30,410930.1,INV-MOCK-10082,KPMG India Advisory
LED-ec891dcb,2026-07-29,149202.81,INV-MOCK-10293,PwC India Tax Consulting
LED-e8e6bfe1,2026-08-06,353118.67,INV-MOCK-10162,Stripe India Payments
LED-235a6f24,2026-08-02,227305.32,INV-MOCK-10386,KPMG India Advisory
LED-4f1d0278,2026-08-01,220703.86,INV-MOCK-10040,Slack Technologies LLC
LED-ee43448d,2026-08-06,31245.05,INV-MOCK-10438,Atlassian Pty Ltd
LED-32eb77da,2026-08-12,-6046.37,INV-MOCK-10475,GitHub Enterprise Services
